20	16	8	10	3	9	5	13	18	22	23	21	17	1	11	6	2	4	7	12	14	15	19	24	
4	19	8	5	17	11	13	15	18	1	9	23	3	7	22	20	2	6	10	12	14	16	21	24	
8	5	7	19	24	14	16	10	11	22	21	9	20	3	1	12	2	4	6	13	15	17	18	23	
16	14	15	2	13	1	19	17	18	5	11	9	7	21	6	4	3	8	10	12	20	22	23	24	
17	4	2	14	1	19	16	13	22	9	24	20	8	12	5	6	3	7	10	11	15	18	21	23	
4	8	18	7	21	5	17	12	14	6	10	23	3	22	1	2	9	11	13	15	16	19	20	24	
24	16	17	18	23	8	2	21	9	14	10	22	20	5	15	7	1	3	4	6	11	12	13	19	
9	16	23	14	17	13	2	19	5	22	11	24	4	21	15	6	1	3	7	8	10	12	18	20	
11	19	22	1	12	24	16	21	14	23	17	10	8	20	2	18	3	4	5	6	7	9	13	15	
5	24	1	13	3	4	2	22	18	17	7	21	12	14	10	11	6	8	9	15	16	19	20	23	
20	6	10	1	19	2	3	17	23	22	24	18	16	5	4	8	7	9	11	12	13	14	15	21	
3	9	24	14	10	19	12	7	20	8	21	1	16	5	2	11	4	6	13	15	17	18	22	23	
24	3	22	12	19	6	1	16	7	20	23	18	5	2	10	4	8	9	11	13	14	15	17	21	
2	14	12	19	18	5	8	23	4	11	13	6	10	1	7	15	3	9	16	17	20	21	22	24	
4	5	24	6	12	13	10	20	15	18	14	16	9	11	3	21	1	2	7	8	17	19	22	23	
8	22	18	24	16	10	7	13	20	19	1	6	2	11	23	15	3	4	5	9	12	14	17	21	
22	6	3	16	11	7	17	14	8	5	21	19	15	1	23	2	4	9	10	12	13	18	20	24	
22	6	3	16	11	7	17	14	8	5	21	19	15	1	23	2	4	9	10	12	13	18	20	24	
